Gender,Sociodemographic,Indicators,Q4_2023,Q4_2024
,,Confidence in the justice system and courts rating of 1 or 2 ,21.4,23.2
,,Confidence in the justice system and courts rating of 3 ,29.3,28.2
,,Confidence in the justice system and courts rating of 4 or 5 ,49.3,48.7
,,Confidence in the school system rating of 1 or 2 ,22.1,20.7
,,Confidence in the school system rating of 3 ,33,33.8
,,Confidence in the school system rating of 4 or 5 ,44.8,45.5
,,Confidence in the Federal Parliament rating of 1 or 2 ,38.6,38.8
,,Confidence in the Federal Parliament rating of 3 ,32.3,32.3
,,Confidence in the Federal Parliament rating of 4 or 5 ,29.1,28.9
,,Confidence in the Canadian media rating of 1 or 2 ,26.8,28.9
,,Confidence in the Canadian media rating of 3 ,36,34.7
,,Confidence in the Canadian media rating of 4 or 5 ,37.2,36.4
,Rural areas ,Confidence in the police rating of 1 or 2 ,9.9,10.8
,,Confidence in the police rating of 3 ,20.5,22
,,Confidence in the police rating of 4 or 5 ,69.6,67.2
,,Confidence in the justice system and courts rating of 1 or 2 ,22.6,26.1
,,Confidence in the justice system and courts rating of 3 ,33.6,28.8
,,Confidence in the justice system and courts rating of 4 or 5 ,43.8,45.1
,,Confidence in the school system rating of 1 or 2 ,23,24.3
,,Confidence in the school system rating of 3 ,32.8,34.2
,,Confidence in the school system rating of 4 or 5 ,44.2,41.5
,,Confidence in the Federal Parliament rating of 1 or 2 ,45.2,48
,,Confidence in the Federal Parliament rating of 3 ,33.9,28.2
,,Confidence in the Federal Parliament rating of 4 or 5 ,20.9,23.8
,,Confidence in the Canadian media rating of 1 or 2 ,30.8,35.5
,,Confidence in the Canadian media rating of 3 ,35.4,30.3
,,Confidence in the Canadian media rating of 4 or 5 ,33.8,34.1
Men,"Total, 15 years and over",Confidence in the police rating of 1 or 2 ,13.9,15.1
,,Confidence in the police rating of 3 ,20.9,23.4
,,Confidence in the police rating of 4 or 5 ,65.2,61.5
,,Confidence in the justice system and courts rating of 1 or 2 ,22.6,24.7
,,Confidence in the justice system and courts rating of 3 ,27.5,27.1
,,Confidence in the justice system and courts rating of 4 or 5 ,49.9,48.2
,,Confidence in the school system rating of 1 or 2 ,24,23
,,Confidence in the school system rating of 3 ,31.6,31.5
,,Confidence in the school system rating of 4 or 5 ,44.3,45.5
,,Confidence in the Federal Parliament rating of 1 or 2 ,43.1,43.2
,,Confidence in the Federal Parliament rating of 3 ,29.9,29.5
,,Confidence in the Federal Parliament rating of 4 or 5 ,26.9,27.3
,,Confidence in the Canadian media rating of 1 or 2 ,30.4,33.6
,,Confidence in the Canadian media rating of 3 ,34.8,32.7
,,Confidence in the Canadian media rating of 4 or 5 ,34.9,33.7
,15 to 24 years,Confidence in the police rating of 1 or 2 ,14.7,21.6
,,Confidence in the police rating of 3 ,18.5,25.3
,,Confidence in the police rating of 4 or 5 ,66.9,53.1
,,Confidence in the justice system and courts rating of 1 or 2 ,20.8,28.6
,,Confidence in the justice system and courts rating of 3 ,28.9,28.5
,,Confidence in the justice system and courts rating of 4 or 5 ,50.3,42.9
,,Confidence in the school system rating of 1 or 2 ,30.7,31.5
,,Confidence in the school system rating of 3 ,29.4,27.1
,,Confidence in the school system rating of 4 or 5 ,39.9,41.4
