Gender,Sociodemographic ,Indicators,Q4_2024
,,Confidence in the justice system and courts rating of 3 4,25.4
,,Confidence in the justice system and courts rating of 4 or 5 4,51.9
,,Confidence in the school system rating of 1 or 2 4,17.7
,,Confidence in the school system rating of 3 4,37.7
,,Confidence in the school system rating of 4 or 5 4,44.6
,,Confidence in the Federal Parliament rating of 1 or 2 4,38.6
,,Confidence in the Federal Parliament rating of 3 4,32.2
,,Confidence in the Federal Parliament rating of 4 or 5 4,29.2
,,Confidence in the Canadian media rating of 1 or 2 4,30.2
,,Confidence in the Canadian media rating of 3 4,28.8
,,Confidence in the Canadian media rating of 4 or 5 4,41
,55 to 64 years,Confidence in the police rating of 1 or 2 4,10.2
,,Confidence in the police rating of 3 4,22.7
,,Confidence in the police rating of 4 or 5 4,67
,,Confidence in the justice system and courts rating of 1 or 2 4,22.6
,,Confidence in the justice system and courts rating of 3 4,31.1
,,Confidence in the justice system and courts rating of 4 or 5 4,46.4
,,Confidence in the school system rating of 1 or 2 4,20.9
,,Confidence in the school system rating of 3 4,36
,,Confidence in the school system rating of 4 or 5 4,43.1
,,Confidence in the Federal Parliament rating of 1 or 2 4,41.8
,,Confidence in the Federal Parliament rating of 3 4,32.3
,,Confidence in the Federal Parliament rating of 4 or 5 4,25.9
,,Confidence in the Canadian media rating of 1 or 2 4,26.3
,,Confidence in the Canadian media rating of 3 4,38.7
,,Confidence in the Canadian media rating of 4 or 5 4,35
,65 to 74 years,Confidence in the police rating of 1 or 2 4,6.2
,,Confidence in the police rating of 3 4,17.3
,,Confidence in the police rating of 4 or 5 4,76.6
,,Confidence in the justice system and courts rating of 1 or 2 4,19.7
,,Confidence in the justice system and courts rating of 3 4,28.9
,,Confidence in the justice system and courts rating of 4 or 5 4,51.3
,,Confidence in the school system rating of 1 or 2 4,15.7
,,Confidence in the school system rating of 3 4,33.4
,,Confidence in the school system rating of 4 or 5 4,50.9
,,Confidence in the Federal Parliament rating of 1 or 2 4,32.6
,,Confidence in the Federal Parliament rating of 3 4,34
,,Confidence in the Federal Parliament rating of 4 or 5 4,33.4
,,Confidence in the Canadian media rating of 1 or 2 4,20.3
,,Confidence in the Canadian media rating of 3 4,35.7
,,Confidence in the Canadian media rating of 4 or 5 4,44
,75 years and over,Confidence in the police rating of 1 or 2 4,3.3
,,Confidence in the police rating of 3 4,12.6
,,Confidence in the police rating of 4 or 5 4,84
,,Confidence in the justice system and courts rating of 1 or 2 4,14.8
,,Confidence in the justice system and courts rating of 3 4,32.5
,,Confidence in the justice system and courts rating of 4 or 5 4,52.7
,,Confidence in the school system rating of 1 or 2 4,13.3
,,Confidence in the school system rating of 3 4,31.6
,,Confidence in the school system rating of 4 or 5 4,55.1
,,Confidence in the Federal Parliament rating of 1 or 2 4,29.8
,,Confidence in the Federal Parliament rating of 3 4,36.3
,,Confidence in the Federal Parliament rating of 4 or 5 4,33.9
,,Confidence in the Canadian media rating of 1 or 2 4,17.3
,,Confidence in the Canadian media rating of 3 4,33.3
,,Confidence in the Canadian media rating of 4 or 5 4,49.4
,"Total, by immigrant status",Confidence in the police rating of 1 or 2 4,13.2
,,Confidence in the police rating of 3 4,21.5
,,Confidence in the police rating of 4 or 5 4,65.4
,,Confidence in the justice system and courts rating of 1 or 2 4,22.4
,,Confidence in the justice system and courts rating of 3 4,29.4
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,19.3
,,Confidence in the school system rating of 3 4,36.1
,,Confidence in the school system rating of 4 or 5 4,44.6
,,Confidence in the Federal Parliament rating of 1 or 2 4,36.8
,,Confidence in the Federal Parliament rating of 3 4,34
,,Confidence in the Federal Parliament rating of 4 or 5 4,29.2
,,Confidence in the Canadian media rating of 1 or 2 4,25.9
,,Confidence in the Canadian media rating of 3 4,35.5
,,Confidence in the Canadian media rating of 4 or 5 4,38.6
,"Total, urban and rural areas ",Confidence in the police rating of 1 or 2 4,13.2
,,Confidence in the police rating of 3 4,21.5
,,Confidence in the police rating of 4 or 5 4,65.4
,,Confidence in the justice system and courts rating of 1 or 2 4,22.4
,,Confidence in the justice system and courts rating of 3 4,29.4
,,Confidence in the justice system and courts rating of 4 or 5 4,48.2
,,Confidence in the school system rating of 1 or 2 4,19.3
,,Confidence in the school system rating of 3 4,36.1
,,Confidence in the school system rating of 4 or 5 4,44.6
,,Confidence in the Federal Parliament rating of 1 or 2 4,36.8
,,Confidence in the Federal Parliament rating of 3 4,34
,,Confidence in the Federal Parliament rating of 4 or 5 4,29.2
,,Confidence in the Canadian media rating of 1 or 2 4,25.9
,,Confidence in the Canadian media rating of 3 4,35.5
,,Confidence in the Canadian media rating of 4 or 5 4,38.6
